4452 東証1部 花王(株)（化学）,,,,,
日付,始値,高値,安値,終値,出来高,終値調整値
"2019-01-04","7890","7941","7782","7913","1970000","7913"
"2019-01-07","8100","8178","7977","8000","1501700","8000"
"2019-01-08","8000","8025","7766","7766","1900200","7766"
"2019-01-09","7891","7898","7787","7798","1634200","7798"
"2019-01-10","7600","7657","7365","7373","2425000","7373"
"2019-01-11","7453","7534","7398","7475","2345900","7475"
"2019-01-15","7400","7486","7313","7466","1568700","7466"
"2019-01-16","7422","7506","7368","7503","1458400","7503"
"2019-01-17","7628","7654","7556","7599","1312400","7599"
"2019-01-18","7650","7734","7625","7719","1238400","7719"
"2019-01-21","7761","7770","7615","7634","977300","7634"
"2019-01-22","7695","7697","7549","7601","961000","7601"
"2019-01-23","7594","7617","7461","7466","1674000","7466"
"2019-01-24","7500","7529","7436","7527","1423000","7527"
"2019-01-25","7588","7622","7519","7612","1522700","7612"
"2019-01-28","7580","7676","7528","7610","1138800","7610"
"2019-01-29","7621","7657","7521","7583","1258700","7583"
"2019-01-30","7591","7660","7532","7622","1217300","7622"
"2019-01-31","7680","7726","7633","7672","1211900","7672"
"2019-02-01","7710","7796","7702","7710","916700","7710"
"2019-02-04","7658","7805","7641","7720","1104100","7720"
"2019-02-05","7960","8124","7895","7935","2126900","7935"
"2019-02-06","8031","8220","7957","8140","1898700","8140"
"2019-02-07","8140","8157","7988","8049","1291300","8049"
"2019-02-08","7871","7929","7670","7673","1819700","7673"
"2019-02-12","7881","8044","7836","8038","2076800","8038"
"2019-02-13","8208","8288","8109","8189","1522500","8189"
"2019-02-14","8200","8340","8091","8116","1371100","8116"
"2019-02-15","8048","8229","8043","8205","1105200","8205"
"2019-02-18","8300","8320","8197","8212","911600","8212"
"2019-02-19","8232","8266","8190","8237","600500","8237"
"2019-02-20","8299","8409","8264","8328","1402500","8328"
"2019-02-21","8275","8438","8274","8407","1363200","8407"
"2019-02-22","8445","8528","8414","8522","1318200","8522"
"2019-02-25","8533","8615","8519","8539","1058400","8539"
"2019-02-26","8610","8720","8596","8660","1493600","8660"
"2019-02-27","8621","8662","8553","8559","1596400","8559"
"2019-02-28","8485","8559","8418","8424","1860000","8424"
"2019-03-01","8450","8577","8443","8527","1473900","8527"
"2019-03-04","8636","8657","8530","8607","879200","8607"
"2019-03-05","8535","8642","8535","8628","818600","8628"
"2019-03-06","8651","8723","8604","8713","1175700","8713"
"2019-03-07","8683","8730","8628","8658","1240500","8658"
"2019-03-08","8547","8613","8506","8568","1898700","8568"
"2019-03-11","8748","8784","8653","8704","1228700","8704"
"2019-03-12","8784","8788","8691","8715","1097000","8715"
"2019-03-13","8734","8771","8650","8701","1040300","8701"
"2019-03-14","8700","8703","8574","8574","1569600","8574"
"2019-03-15","8564","8719","8553","8664","1707600","8664"
"2019-03-18","8705","8816","8698","8814","1039700","8814"
"2019-03-19","8788","8822","8741","8788","813400","8788"
"2019-03-20","8815","8860","8762","8843","1090900","8843"
"2019-03-22","8713","8742","8660","8692","1544500","8692"
"2019-03-25","8542","8542","8382","8442","1490500","8442"
"2019-03-26","8574","8729","8574","8718","1776500","8718"
"2019-03-27","8693","8794","8642","8786","1418600","8786"
"2019-03-28","8780","8790","8585","8615","1501800","8615"
"2019-03-29","8704","8747","8662","8718","1364400","8718"
"2019-04-01","8818","8850","8698","8727","1303900","8727"
"2019-04-02","8810","8814","8557","8571","1215000","8571"
"2019-04-03","8607","8660","8553","8615","1416100","8615"
"2019-04-04","8630","8632","8575","8617","790900","8617"
"2019-04-05","8657","8657","8509","8514","1082300","8514"
"2019-04-08","8542","8636","8510","8613","1216400","8613"
"2019-04-09","8600","8606","8512","8587","937700","8587"
"2019-04-10","8501","8569","8466","8473","1026900","8473"
"2019-04-11","8351","8498","8346","8487","1694300","8487"
"2019-04-12","8389","8429","8289","8292","1805600","8292"
"2019-04-15","8370","8470","8355","8429","1782200","8429"
"2019-04-16","8410","8493","8377","8392","1208700","8392"
"2019-04-17","8377","8470","8359","8401","1252300","8401"
"2019-04-18","8369","8400","8325","8329","1102100","8329"
"2019-04-19","8401","8427","8270","8283","997600","8283"
"2019-04-22","8230","8331","8204","8293","998400","8293"
"2019-04-23","8333","8347","8212","8237","1261400","8237"
"2019-04-24","8219","8265","8078","8156","2294700","8156"
"2019-04-25","8563","8676","8520","8584","3127800","8584"
"2019-04-26","8631","8639","8460","8557","1969500","8557"
